voyageID,lat,lon,ordinal,herd_cluster_id,date
AV00111,-47.37,70.67,677896,4776,1857-01-06
AV00111,-47.45,70.72,677913,4453,1857-01-23
AV00111,-47.08,70.83,677916,4453,1857-01-26
AV00111,-47.85,70.33,677937,4192,1857-02-16
AV00111,-47.72,69.8,677952,-1,1857-03-03
AV00111,-47.57,70.57,678273,1181,1858-01-18
AV00111,-47.57,70.53,678274,1181,1858-01-19
AV00111,-47.18,70.5,678282,1181,1858-01-27
AV00136,40.75,-71.3,674786,81390,1848-07-02
AV00136,39.73,-71.16,674787,81390,1848-07-03
AV00136,38.53,-69.0,674788,81390,1848-07-04
AV00136,36.6,-66.41,674789,81384,1848-07-05
AV00136,34.81,-64.66,674790,81384,1848-07-06
AV00136,33.56,-63.03,674791,81384,1848-07-07
AV00136,33.83,-59.0,674792,-1,1848-07-08
AV00136,34.11,-56.13,674793,35710,1848-07-09
AV00136,35.76,-57.83,674794,35710,1848-07-10
AV00136,37.0,-56.5,674795,35711,1848-07-11
AV00136,37.83,-55.5,674796,35711,1848-07-12
AV00136,38.36,-55.0,674797,35711,1848-07-13
AV00136,38.83,-53.83,674798,35711,1848-07-14
AV00136,38.98,-50.33,674799,35678,1848-07-15
AV00136,39.03,-47.0,674800,35678,1848-07-16
AV00136,39.23,-44.25,674801,35678,1848-07-17
AV00136,39.05,-41.83,674802,35678,1848-07-18
AV00136,39.13,-40.58,674803,35678,1848-07-19
AV00136,39.11,-38.75,674804,35678,1848-07-20
AV00136,39.13,-34.25,674805,50774,1848-07-21
AV00136,39.16,-33.66,674806,50774,1848-07-22
AV00136,40.31,-32.66,674807,-1,1848-07-23
AV00136,40.08,-31.11,674808,50879,1848-07-24
AV00136,39.55,-30.46,674809,50879,1848-07-25
AV00136,39.02,-29.81,674810,50891,1848-07-26
AV00136,38.5,-29.16,674811,50902,1848-07-27
AV00136,38.66,-30.0,674812,50891,1848-07-28
AV00136,38.63,-30.91,674813,-1,1848-07-29
AV00136,38.95,-29.2,674814,50903,1848-07-30
AV00136,38.75,-29.16,674815,50903,1848-07-31
AV00136,38.66,-27.83,674816,50845,1848-08-01
AV00136,37.75,-25.83,674817,50845,1848-08-02
AV00136,36.81,-25.66,674818,50831,1848-08-03
AV00136,34.95,-25.2,674819,-1,1848-08-04
AV00136,33.33,-24.75,674820,50790,1848-08-05
AV00136,32.28,-24.28,674821,50790,1848-08-06
AV00136,30.73,-23.83,674822,50791,1848-08-07
AV00136,28.83,-23.5,674823,-1,1848-08-08
AV00136,26.5,-22.93,674824,50750,1848-08-09
AV00136,24.41,-22.75,674825,-1,1848-08-10
AV00136,21.95,-22.63,674826,-1,1848-08-11
AV00136,19.35,-22.33,674827,50793,1848-08-12
AV00136,18.61,-23.0,674828,50793,1848-08-13
AV00136,17.53,-23.46,674829,50793,1848-08-14
AV00136,16.36,-23.75,674830,50793,1848-08-15
AV00136,15.25,-23.58,674831,50793,1848-08-16
AV00136,14.37,-23.5,674832,50793,1848-08-17
AV00136,13.5,-23.41,674833,50793,1848-08-18
AV00136,12.46,-21.83,674834,50793,1848-08-19
AV00136,10.63,-21.5,674835,50792,1848-08-20
AV00136,9.55,-21.33,674836,50792,1848-08-21
AV00136,7.51,-20.0,674837,50805,1848-08-22
AV00136,6.08,-18.41,674838,50807,1848-08-23
AV00136,3.71,-17.33,674839,50846,1848-08-24
AV00136,3.73,-16.2,674840,-1,1848-08-25
AV00136,3.11,-15.0,674841,-1,1848-08-26
AV00136,2.66,-17.41,674842,50847,1848-08-27
AV00136,1.6,-19.83,674843,50808,1848-08-28
AV00136,-0.06,-20.25,674844,50809,1848-08-29
AV00136,-1.33,-22.0,674845,50848,1848-08-30
AV00136,-2.96,-23.08,674846,50849,1848-08-31
AV00136,-4.6,-23.71,674847,50849,1848-09-01
AV00136,-6.48,-24.25,674848,50832,1848-09-02
AV00136,-8.4,-24.88,674849,-1,1848-09-03
AV00136,-10.23,-25.88,674850,50810,1848-09-04
AV00136,-12.06,-26.66,674851,50810,1848-09-05
AV00136,-14.11,-27.5,674852,50787,1848-09-06
AV00136,-16.16,-27.58,674853,50787,1848-09-07
AV00136,-18.11,-26.5,674854,50765,1848-09-08
AV00136,-20.31,-26.5,674855,50765,1848-09-09
AV00136,-22.53,-26.4,674856,50765,1848-09-10
AV00136,-24.35,-25.0,674857,50739,1848-09-11
AV00136,-26.13,-25.13,674858,50739,1848-09-12
AV00136,-28.68,-24.05,674859,48377,1848-09-13
AV00136,-30.56,-22.38,674860,48377,1848-09-14
